ps excitado a 230 los demas a 259								
								
								
								
8								
4096								
PS 5%naf DeltaDiode:329.9964(2)	PS 5%naf DeltaDiode:329.9964(2)	Pulso DeltaDiode:259.9963	PS DeltaDiode:329.9964(2)	5 Cef3 DeltaDiode:329.9964(2)	10 CeF3 DeltaDiode:329.9964(2)	10 NF DeltaDiode:329.9964(2)	15 NF DeltaDiode:329.9964(2)	20 NF DeltaDiode:329.9964(2)
X	Y	Y	Y	Y	Y	Y	Y	Y
63.91313	4461	1	413	386	367	4618	4175	4102
64.1199646	4443	0	394	377	318	4863	4114	4093
64.3268051	4460	1	398	381	357	4770	4175	4059
64.5336456	4507	0	387	380	350	4803	4159	4000
64.7404861	4434	2	385	372	344	4798	4048	4221
64.94733	4509	0	372	346	416	4717	4066	4124
65.15416	4510	1	344	363	361	4679	4025	4065
65.361	4518	2	403	359	368	4670	4029	4032
65.56784	4577	0	381	358	378	4523	4005	4018
65.77467	4348	0	384	322	319	4701	3957	4045
65.981514	4431	0	369	317	350	4671	4044	3977
66.1883545	4447	0	348	359	346	4573	4004	4046
66.395195	4368	0	399	356	323	4627	4102	3981
66.6020355	4370	0	387	315	347	4516	3919	3991
66.80887	4344	0	351	307	342	4699	4101	3953
67.01571	4436	0	399	329	345	4551	4130	4023
67.22255	4275	1	350	322	332	4509	3973	3904
67.42938	4354	0	352	330	321	4587	4096	3935
67.63622	4450	1	358	313	338	4503	3895	3830
67.84306	4335	1	349	298	323	4465	3973	3878
68.0499039	4417	0	366	317	335	4480	3861	3874
68.2567444	4387	0	362	300	290	4460	3866	3869
68.46358	4376	0	348	323	302	4273	3835	3954
68.67042	4374	0	366	296	302	4504	3834	3764
68.87726	4261	0	319	340	264	4620	3944	3793
69.08409	4341	1	364	306	291	4380	3932	3807
69.29093	4189	3	351	276	275	4319	3897	3802
69.49777	4238	0	344	311	284	4313	3784	3817
69.70461	4218	0	338	323	273	4494	3775	3864
69.91145	4254	1	348	303	266	4332	3915	3802
70.1182861	4168	1	332	254	296	4355	3746	3703
70.32513	4111	0	294	287	290	4455	3741	3734
70.53197	4152	1	298	264	275	4270	3716	3802
70.7388	4166	0	328	299	287	4292	3797	3875
70.94564	4193	0	293	258	263	4343	3711	3797
71.15248	4240	1	325	287	287	4439	3808	3675
